date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-13 23:59:19,mnDonotpanic,,0,0,0,"foreign ministers of #RIC (#Russia #India #China) to hold virtual meeting in late June; convened at the initiative of #Moscow and is largely focused on cooperative activities in response to #COVID19 #CoronaVirus concerns; #foreignRelations",,,#RIC #Russia #India #China #Moscow #COVID19 #CoronaVirus #foreignRelations,1271955340486234113,https://twitter.com/mnDonotpanic/status/1271955340486234113
2020-06-13 23:48:11,AnirbanMisra1,,0,0,0,"India China Tension : Indian Army China के मुद्दे पर चुप क्यों हो जाती ह... https://youtu.be/iczh-kKUpcs via @YouTube",,@YouTube,,1271952536820428800,https://twitter.com/AnirbanMisra1/status/1271952536820428800
2020-06-13 23:40:40,khatri_kundan,ImtiazMadmood,1,2,1,"The recent tweets of your is trying to fuel up Indian dalits to bring India in series of riots like America and western world.... Don't you think you are playing as a Chinese puppets during india-china stand off to disturbe within it smartly...... ",,,,1271950647860924416,https://twitter.com/khatri_kundan/status/1271950647860924416
2020-06-13 23:37:23,CoronavirusNewv,A_Bem_d_Verdade,1,1,1,"Brasil tiene menos población que India , China, Indonesia y Pakistán... sin embargo tiene muchos más casos que esos países ( pero esto no es comparación ) ",,,,1271949820463329290,https://twitter.com/CoronavirusNewv/status/1271949820463329290
2020-06-13 23:21:25,krishnakant_75,,2,4,10,"In a TV discussion on #India #China border faceoff Ajai Shukla talks about Indian Army's 'Sitreps' or Situational Reports. To my limited knowledge, sitreps of any ongoing military operation is covered under the OSA. @Chopsyturvey @Iyervval @KesariDhwaj @RDXThinksThat @RaveenKr",,@Chopsyturvey @Iyervval @KesariDhwaj @RDXThinksThat @RaveenKr,#India #China,1271945801422405633,https://twitter.com/krishnakant_75/status/1271945801422405633
2020-06-13 23:15:00,htTweets,,3,8,51,"Foreign ministers of Russia-India-China to hold virtual meeting on June 22 (reports @Rezhasan) https://www.hindustantimes.com/india-news/new-delhi-beijing-border-stand-off-on-agenda-in-russia-india-and-china-s-virtual-meet/story-SfuYcYry9269iUY4BOGDJL.html",,@Rezhasan,,1271944186196103170,https://twitter.com/htTweets/status/1271944186196103170
2020-06-13 23:11:57,RiizaGurung,AJEnglish,0,0,0,"To: India &amp; China... ",,,,1271943421863723008,https://twitter.com/RiizaGurung/status/1271943421863723008
2020-06-13 23:09:04,trstdtravlr,,0,0,0,"rumours of India-China border situation under control, says Army chief",,,,1271942693019680778,https://twitter.com/trstdtravlr/status/1271942693019680778
2020-06-13 23:03:46,truesotruefact,dankaryan1213,3,0,0,"Abe laude school jata h kya abhi bhi? Ja k thoda research kr, South korea ki hmse achhi condition thi? Abe SK top ten to kya top 15 m bhi nhi tha gdp m 1960 tk. History pdhle thodi SK ki, or India China ki same conditions thi, pappu ka moot pee k mask lga le tu ",,,,1271941362267516928,https://twitter.com/truesotruefact/status/1271941362267516928
2020-06-13 23:03:41,krishnawoodland,Swamy39,0,0,0,"Sir, why don't you become emissary to solve India China stand off considering your good relations with China?",,,,1271941339710619648,https://twitter.com/krishnawoodland/status/1271941339710619648
2020-06-13 23:02:23,JabSinghRana,rwac48,0,0,0,"China Trying To Associate Pakistan to Rise against India and Cooperate China against India China Proved Successful In Nepal who Had Show RedEyesTo India By Firing Inside India. Shameful Modi Failing To React Gadaar PM after Independence ",,,,1271941012848431104,https://twitter.com/JabSinghRana/status/1271941012848431104
2020-06-13 23:01:40,StopS386,VejinB,0,0,1,"You’re wrong. Our visa programs are not bringing in the best and the brightest & they are all predominantly coming from only two countries - India &amp; China. It’s all about cheap labor and long term depressing market wages.",,,,1271940831868588033,https://twitter.com/StopS386/status/1271940831868588033
2020-06-13 22:55:57,Kurutoga2k7,JohnBlaxland1,0,0,1,"Anyone interested in the current India/China conflict should read about the 2019 change on article 370, before commenting ",,,,1271939394740641794,https://twitter.com/Kurutoga2k7/status/1271939394740641794
2020-06-13 22:53:51,vipulvalaki182,,0,0,0,"@SwetaSinghAT Medam ji India china border dispute ke galat news kyo de rhe ho??? Chini ghus ke Bethe hai laddakh me aur aap India ki जयजयकार karne me lagi hui hai @aajtak #IndiaChinaBorderDispute #FakeNews",,@SwetaSinghAT @aajtak,#IndiaChinaBorderDispute #FakeNews,1271938863150149632,https://twitter.com/vipulvalaki182/status/1271938863150149632
2020-06-13 22:51:58,demontage2000,,0,0,2,"#BLM #racism “Anti-racism is not just the norm in polite American society, it’s a religion .. we obsess over the idea .. not because the country is more racist than .. India, China, or the Middle East, but because it’s obsessively less racist.” ",,,#BLM #racism,1271938388795383808,https://twitter.com/demontage2000/status/1271938388795383808
2020-06-13 22:36:52,Ravinder536R,,10,74,359,"India-China standoff: No headway in resolution for Pangong Lake, talks focus only on Galwan ⁦@Swamy39⁩",,@Swamy39,,1271934591121494016,https://twitter.com/Ravinder536R/status/1271934591121494016
2020-06-13 22:23:23,coopnkobe,uoysevolsusej,0,0,0,"BRAZIL RUSSIA INDIA CHINA SOUTH AFRICA ...BRICS",,,,1271931196981862402,https://twitter.com/coopnkobe/status/1271931196981862402
2020-06-13 22:17:58,ruhaanrajput18,ImtiazMadmood,1,0,4,"Nehru also given land to China , still China wants more ,Pakistan didn’t resolve border issue .after some years Pakistan will be part of China and how genocide are happening in China .same will going to happen, If pok will not recaptured by India . China will capture Pakistan.",,,,1271929834508128256,https://twitter.com/ruhaanrajput18/status/1271929834508128256
2020-06-13 21:49:04,native_guruu,KaragianisLee,2,0,0,"Why India &amp; China would fight lol ? Global Left is taken by China and global right is taken by India . You all are going to fight eachother in China-Indo games . What you’re seeing is not even a trailer",,,,1271922560003969026,https://twitter.com/native_guruu/status/1271922560003969026
2020-06-13 21:47:27,18AKGOYAL,,0,0,0,"India-China Border Issue: Why Does India Get Nonplussed by China? | OPINION ",,,,1271922154850807808,https://twitter.com/18AKGOYAL/status/1271922154850807808
2020-06-13 21:47:10,AlPinkerton,,0,1,9,"This will not end well. Two nuclear powers and a highly sensitive border. #India #China #LadakhStandoff",,,#India #China #LadakhStandoff,1271922081744195584,https://twitter.com/AlPinkerton/status/1271922081744195584
2020-06-13 21:40:49,santosbarajas,RevistaSemana,1,0,12,"El perdió la guerra, hay están los asesinos y esclavistas ingleses y franceses hablando de lo malo que era Hitler, pero de las masacres inglesas y francesas en África, India, china y América si no hay series ni reportajes",,,,1271920487095046146,https://twitter.com/santosbarajas/status/1271920487095046146
2020-06-13 21:37:48,Taticru79846829,,0,0,0,"No dia 20 de junho ocorre o solstício de inverno/verão. No dia 21, África Central, Península Arábica, Índia, China, Taiwan e Pacífico verão o anel completo. ",,,,1271919727670108160,https://twitter.com/Taticru79846829/status/1271919727670108160
2020-06-13 21:18:44,BipinSh158,narendramodi,0,0,0,"Pl sir comment India China issue",,,,1271914925862948864,https://twitter.com/BipinSh158/status/1271914925862948864
2020-06-13 21:15:56,techisbackcom,,0,0,0,"India China Tension : Indian Army China के मुद्दे पर चुप क्यों हो जाती है? (BBC Hindi) ",,,,1271914223078162433,https://twitter.com/techisbackcom/status/1271914223078162433
2020-06-13 21:07:58,mikepillsbury,,11,19,30,"The Simmering Boundary: A “new normal” at the India–China border? | “First, there appears to have been a substantial and concerning massing of military forces in Ladakh to positions near the LAC at three standoff points” ",,,,1271912217974374401,https://twitter.com/mikepillsbury/status/1271912217974374401
2020-06-13 21:04:54,threadreaderapp,umonk3,0,0,0,"Saluti, please find the unroll here: @bennedose: Thread: I have been studying the India-China border areas for 3 years and have made about 20 videos. One… https://threadreaderapp.com/thread/1270574402321563649.html Talk to you soon. ",,@bennedose,,1271911444863385606,https://twitter.com/threadreaderapp/status/1271911444863385606
2020-06-13 21:01:02,garryrmcgrath1,MichaelPascoe01,0,0,0,"Trade China in on India China might to think a bit more rational maybe",,,,1271910473856716800,https://twitter.com/garryrmcgrath1/status/1271910473856716800
2020-06-13 20:59:53,samiqureshi007,mehdirhasan,0,0,3,"Do You have any news regarding India-China tension in border ?",,,,1271910182914674688,https://twitter.com/samiqureshi007/status/1271910182914674688
2020-06-13 20:58:44,JonSociologist,Hoosier20201,0,0,0,"Yet again. Racist. You overlook Egypt, India, China, Iraq, Mexico, and Peru. To name a few. Interesting that you choose a European country while ignoring so many older longer running non-European areas.",,,,1271909892853338113,https://twitter.com/JonSociologist/status/1271909892853338113
